id,row_id,username,license,license_url,lat,lng,hotspot,event,observed,country,county,state,municipality,postcode,observation_notes,Count,Comments_Brand_Names,Abundance,Water_Temperature_(_C)_(C),Air_temperature_(_C)_(°C),Transparency_(m),Salinity_(ppt),Dissolved_Oxygen,Current_(relative),Nutrient_Vial_Number,Nutrient_bath_temperature_(C),__of_LARGE_Pseudo_nitzschia,__of_SMALL_Pseudo_nitzschia,__of_Dinophysis_acuminata,__of_Alexandrium,__of_Prorocentrum_lima,__of_Margalefidinium_p_,__of_Karenia,PS_TNTC_reached_at_cell__,Comments,Phytoplankton_(Dominant_Species_1),Phytoplankton_(Dominant_Species_2),Phytoplankton_(Dominant_Species_3),Date_e_mailed_to_DMR,Lab_Comments,Collected_By,Inches_of_Rain_(in),Tide_in___out,Time_of_Low_Tide,Time_of_High_Tide,Weather,Water_Surface,Wind_Direction,Phytoplanton_Sample_Method,Field_Notes,Image 1,Image 2,Image 3,Image 4,Image 5,__of_Dinophysis_norvegica,__of_Dinophysis_spp__(unknown),Descending_Transparency_(m),Ascending_Transparency_(m),Water_Depth_(m),Frequency_(Dominant_Species_1),Frequency_(Dominant_Species_2),Zooplankton_Frequency,Microplastics_Sampling_Type,Amount_of_Water_Filtered_(L),Blue__Round,Blue__Filament,Blue__Angular,Blue__Other_Shape,Red__Round,Red__Filament,Red__Angular,Red__Other_Shape,Transparent_White__Round,Transparent_White__Filament,Transparent_White__Angular,Transparent_White__Other_Shape,Black__Round,Black__Filament,Black__Angular,Black__Other_Shape,Green__Round,Green__Filament,Green__Angular,Green__Other_Shape,Other_Colors__Round,Other_Colors__Filament,Other_Colors__Angular,Other_Colors__Other_Shape,Microplastics_Notes,Wind_Speed,__Grid_Cells_Counted,pH,__of_Copepods,Wind_Speed_(mph)
39592,69489,MarkWhiting,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,44.398888,-68.703835,Penobscot - Bagaduce Lunch,,2016-07-31 13:30:00+0000,United States,Hancock County,Maine,Penobscot,`04617,"Dominants were Chaetoceros spp and some Ditylum brightwellii, Lithodesmium present, no hazardous algal bloom (HAB) species observed",0,none observed in 100 cells counted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39592,69490,MarkWhiting,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,44.398888,-68.703835,Penobscot - Bagaduce Lunch,,2016-07-31 13:30:00+0000,United States,Hancock County,Maine,Penobscot,`04617,"Dominants were Chaetoceros spp and some Ditylum brightwellii, Lithodesmium present, no hazardous algal bloom (HAB) species observed",0,none observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39592,69491,MarkWhiting,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,44.398888,-68.703835,Penobscot - Bagaduce Lunch,,2016-07-31 13:30:00+0000,United States,Hancock County,Maine,Penobscot,`04617,"Dominants were Chaetoceros spp and some Ditylum brightwellii, Lithodesmium present, no hazardous algal bloom (HAB) species observed",0,none observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39592,69492,MarkWhiting,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,44.398888,-68.703835,Penobscot - Bagaduce Lunch,,2016-07-31 13:30:00+0000,United States,Hancock County,Maine,Penobscot,`04617,"Dominants were Chaetoceros spp and some Ditylum brightwellii, Lithodesmium present, no hazardous algal bloom (HAB) species observed",0,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39592,69493,MarkWhiting,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,44.398888,-68.703835,Penobscot - Bagaduce Lunch,,2016-07-31 13:30:00+0000,United States,Hancock County,Maine,Penobscot,`04617,"Dominants were Chaetoceros spp and some Ditylum brightwellii, Lithodesmium present, no hazardous algal bloom (HAB) species observed",0,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39592,69494,MarkWhiting,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,44.398888,-68.703835,Penobscot - Bagaduce Lunch,,2016-07-31 13:30:00+0000,United States,Hancock County,Maine,Penobscot,`04617,"Dominants were Chaetoceros spp and some Ditylum brightwellii, Lithodesmium present, no hazardous algal bloom (HAB) species observed",0,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39592,69495,MarkWhiting,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,44.398888,-68.703835,Penobscot - Bagaduce Lunch,,2016-07-31 13:30:00+0000,United States,Hancock County,Maine,Penobscot,`04617,"Dominants were Chaetoceros spp and some Ditylum brightwellii, Lithodesmium present, no hazardous algal bloom (HAB) species observed",0,common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39593,69496,MarkWhiting,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,44.453308,-68.706055,Penobscot Town Landing,,2016-07-31 13:00:00+0000,United States,Hancock County,Maine,Penobscot,`04476,"dominated by tintinnid ciliates, Ditylum brighwellii and Chaetoceros spp, some Melosira moniliformis, some Ceratium fusis and Protoperidinium spp",0,none observed in 100 grid count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39593,69497,MarkWhiting,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,44.453308,-68.706055,Penobscot Town Landing,,2016-07-31 13:00:00+0000,United States,Hancock County,Maine,Penobscot,`04476,"dominated by tintinnid ciliates, Ditylum brighwellii and Chaetoceros spp, some Melosira moniliformis, some Ceratium fusis and Protoperidinium spp",0,none observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39593,69498,MarkWhiting,Creative Commons Attribution 4.0 International License,https://creativecommons.org/licenses/by/4.0/,44.453308,-68.706055,Penobscot Town Landing,,2016-07-31 13:00:00+0000,United States,Hancock County,Maine,Penobscot,`04476,"dominated by tintinnid ciliates, Ditylum brighwellii and Chaetoceros spp, some Melosira moniliformis, some Ceratium fusis and Protoperidinium spp",0,none observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
